=======Command line arguments=======
N_atoms: 1000
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
recvcount: 62       displ: 0
recvcount: 62       displ: 62
recvcount: 62       displ: 124
recvcount: 62       displ: 186
recvcount: 62       displ: 248
recvcount: 62       displ: 310
recvcount: 62       displ: 372
recvcount: 62       displ: 434
recvcount: 62       displ: 496
recvcount: 62       displ: 558
recvcount: 62       displ: 620
recvcount: 62       displ: 682
recvcount: 62       displ: 744
recvcount: 62       displ: 806
recvcount: 62       displ: 868
recvcount: 70       displ: 930
box length: 4.838e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
   7500   3.142e+00  -4.687e-01  2.67324e+00  151.71  1.535e-05
   7600   3.178e+00  -4.704e-01  2.70756e+00  153.45  1.494e-05
   7700   3.173e+00  -4.796e-01  2.69375e+00  153.23  1.404e-05
   7800   3.195e+00  -4.704e-01  2.72425e+00  154.26  1.501e-05
   7900   3.126e+00  -4.630e-01  2.66286e+00  150.93  1.538e-05
   8000   3.197e+00  -4.880e-01  2.70867e+00  154.36  1.426e-05
   8100   3.262e+00  -4.865e-01  2.77516e+00  157.49  1.489e-05
   8200   3.169e+00  -4.582e-01  2.71102e+00  153.03  1.584e-05
   8300   3.193e+00  -4.793e-01  2.71325e+00  154.15  1.529e-05
   8400   3.178e+00  -4.929e-01  2.68557e+00  153.47  1.487e-05
   8500   3.140e+00  -4.939e-01  2.64576e+00  151.60  1.448e-05
   8600   3.179e+00  -4.807e-01  2.69827e+00  153.50  1.571e-05
   8700   3.138e+00  -4.781e-01  2.66022e+00  151.54  1.535e-05
   8800   3.180e+00  -4.753e-01  2.70468e+00  153.55  1.522e-05
   8900   3.151e+00  -4.823e-01  2.66871e+00  152.15  1.435e-05
   9000   3.084e+00  -4.637e-01  2.62052e+00  148.92  1.506e-05
   9100   3.145e+00  -4.696e-01  2.67552e+00  151.86  1.533e-05
   9200   3.153e+00  -4.734e-01  2.67988e+00  152.26  1.545e-05
   9300   3.131e+00  -4.919e-01  2.63909e+00  151.18  1.518e-05
   9400   3.147e+00  -5.026e-01  2.64469e+00  151.97  1.445e-05
   9500   3.138e+00  -4.850e-01  2.65271e+00  151.51  1.536e-05
   9600   3.144e+00  -4.991e-01  2.64519e+00  151.83  1.462e-05
   9700   3.094e+00  -4.950e-01  2.59875e+00  149.39  1.484e-05
   9800   3.158e+00  -4.886e-01  2.66917e+00  152.48  1.558e-05
   9900   3.147e+00  -4.809e-01  2.66630e+00  151.96  1.534e-05
  10000   3.165e+00  -4.807e-01  2.68451e+00  152.84  1.477e-05
Simulation Complete!
Total simulation time:             11.936 secs
Force/energy time:                  7.727 secs (64.73%)
Position/velocity update time:      4.033 secs (33.79%)
Thermo/trajectory output time:      0.173 secs ( 1.45%)
